Population,Year,Anchored SPM Poverty Rate (2012) without Taxes and Transfers,Anchored SPM Poverty Rate (2012) with Taxes and Transfers,Historical SPM Poverty Rate without Taxes and Transfers,Historical SPM Poverty Rate
Children (< 18),2010,29.4,17.1,30.0,18.0
Children (< 18),2011,29.2,17.2,29.8,18.1
Children (< 18),2012,29.7,18.1,29.7,18.1
Children (< 18),2013,27.8,17.2,27.4,16.5
Children (< 18),2014,28.3,17.6,27.7,16.7
Children (< 18),2015,27.1,16.7,26.7,16.1
Children (< 18),2016,25.2,15.6,24.9,15.2
Children (< 18),2017,24.7,15.6,24.6,15.6
Children (< 18),2018,22.7,13.0,23.3,13.5
Children (< 18),2019,21.4,11.8,22.1,12.8
Children (< 18),2020,23.5,8.7,24.8,9.8
Children (< 18),2021,20.6,4.4,21.8,5.2
Children (< 18),2022,19.6,10.8,20.9,12.4
Children (< 18),2023,19.5,10.6,21.9,13.8
