Characteristic,Sample,ID
Inner diameter,1,4.14
Inner diameter,2,4.05
Inner diameter,3,4.18
Inner diameter,4,4.10
Inner diameter,5,4.19
Inner diameter,6,4.22
Inner diameter,7,4.09
Inner diameter,8,4.05
Inner diameter,9,4.18
Inner diameter,10,4.16
Inner diameter,11,4.11
Inner diameter,12,4.26
Inner diameter,13,4.16
Inner diameter,14,4.14
Inner diameter,15,4.14
Inner diameter,16,4.1
Inner diameter,17,4.24
Inner diameter,18,4.06
Inner diameter,19,4.24
Inner diameter,20,4.12
Inner diameter,21,4.31
Inner diameter,22,4.11
Inner diameter,23,4.13
Inner diameter,24,4.16
Inner diameter,25,4.06
